User Id,Email,Emotion,Date
01f8acd2-9c60-44ad-9f0c-a05068d860e8, Vanessa.Hood@slambda.com,Excited,01-19-18,
28b733e0-8940-4d97-b854-5cc4c0c9362d, Sadie.Kramer@biflex.com,Happy,09-06-18,
a40e34e6-36f5-4d06-afa1-d9e0e1805908, Larsen.Jimenez@fuelton.com,Anxious,01-22-18,
0de554ea-6089-4262-86dc-c8f7bccf381f, Elizabeth.Quinn@portico.com,Excited,04-15-18,
bd3d0535-e9bf-4ff9-8f67-2e40c5757646, Kirk.Velazquez@kiggle.com,Angry,06-07-18,
2c5e0d61-d657-4d2e-a851-cedbbb83fbf9, Kaufman.Wilson@exospace.com,Bored,04-12-18,
8b9ae74e-d39c-4f39-8c0a-d7651f258b2f, Odonnell.Goff@dancerity.com,Focused,07-15-18,
bbe102d5-9979-4e14-a0c0-599801d9808a, Maddox.Wells@kenegy.com,Focused,03-17-18,
d2f46962-1c81-4477-8ab1-6a9e35beaa8c, Camille.Sellers@ebidco.com,Pensive,09-09-18,
2e7272db-bb0f-47bb-8721-4d832bd6bb9c, Casey.Fitzgerald@comtrak.com,Excited,07-29-18,
b738f1f4-f643-46ae-9c2f-90d087b95784, Chang.Tillman@netplax.com,Loved,02-11-18,
50471f6c-0640-49e1-9cfe-4417d1033629, House.Woodard@geoforma.com,Depressed,09-15-18,
beb73688-8746-40be-ae3d-7e5525f48d89, Martina.Glover@gleamink.com,Appreciated,07-06-18,
850e6cb4-d4bd-48d9-bfcf-86cbf7e305ef, Hewitt.Stanton@updat.com,Happy,07-11-18,
9d6748d3-35cb-42c8-b1f7-78ece495271a, Tara.Puckett@enersave.com,Pensive,05-03-18,
c03fad3e-77a9-4358-83be-85e8af6b7d51, Gallegos.Albert@zork.com,Confused,08-02-18,
2286cd22-a4c6-45cc-8933-77ac59649972, Alyce.Tucker@colaire.com,Excited,04-11-18,
dec6babc-cebe-46ec-b83a-be486c358e9f, Jessie.Mclean@mondicil.com,Depressed,03-10-18,
3123c13e-dbde-41af-bf27-e4bb1b631d17, Church.Silva@bullzone.com,Amused,06-29-18,
bce6a831-b1cb-4efd-8e82-9965fc080bbe, Horn.Hammond@plutorque.com,Appreciated,04-19-18,
a3b68d4c-5541-4d37-9637-075da5c9b180, Tyson.Hays@zuvy.com,Pensive,04-26-18,
bc443fb7-679a-4691-9a0e-677802e558f2, Coleen.Faulkner@teraprene.com,Disgust,08-07-18,
109f653f-c889-4380-87b1-246065f42756, Cox.May@comtrail.com,Disgust,06-26-18,
42570b51-cbf6-49d9-93c5-82c24310c4cc, Erika.Pitts@ramjob.com,Focused,08-14-18,
31020f8f-82f4-4542-810b-59803a03b387, Estela.Rhodes@katakana.com,Anxious,05-06-18,
118ccfbd-dd14-43c7-99ef-9a9cc6164413, Mendez.Booth@geekmosis.com,Disgust,03-30-18,
